timestamp,imu_linear_acc_x,imu_linear_acc_y,imu_linear_acc_z,imu_angular_vel_x,imu_angular_vel_y,imu_angular_vel_z,odom_pos_x,odom_pos_y,odom_pos_z,odom_vel_x,odom_vel_y,odom_vel_z,pwm_0,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7
145.72,-3.721526143512303e-09,7.642746363191539e-10,9.79704976835378,1.002893774076034e-14,5.589666849118198e-14,-7.3907210669886795e-19,-0.0024225637017548764,-0.027116556775418445,-0.3997447242516225,-6.211502068591123e-14,1.284935029021235e-14,0.000164718419515264,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
145.74,-3.721369802657769e-09,7.642422147929628e-10,9.79659604268791,1.4596026867996302e-14,7.647004889624116e-14,-7.386784198519007e-19,-0.0024225637017548634,-0.027116556775418445,-0.39974235558798094,-4.433795729486024e-14,9.238415387488387e-15,0.0001184331820780482,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
145.76,-3.721311795878288e-09,7.642301091120153e-10,9.79639200752456,1.815793738385047e-14,9.180772222414365e-14,-7.353859892858632e-19,-0.0024225637017548513,-0.027116556775418445,-0.3997412461450261,-2.0464786997066644e-14,4.326817728892785e-15,5.5472147741930655e-05,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
145.78,-3.721331352451462e-09,7.642340315885514e-10,9.79639200752456,2.1316519228320516e-14,1.0509152853922723e-13,-7.287489182631378e-19,-0.0024225637017548513,-0.027116556775418445,-0.3997412461450261,0.0,0.0,0.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
145.8,-3.7214703779312763e-09,7.64262452912318e-10,9.796667477300335,2.2705482589227468e-14,1.092834706681402e-13,-7.211080630204902e-19,-0.0024225637017548014,-0.027116556775418445,-0.39974230925742643,2.268586693302605e-14,-4.149415464634244e-15,-5.3155620016731575e-05,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
145.82,-3.7214703779312763e-09,7.64262452912318e-10,9.796667477300335,2.2705482589227468e-14,1.092834706681402e-13,-7.211080630204902e-19,-0.0024225637017547728,-0.027116556775418445,-0.39974571292437144,6.607893465496271e-14,-1.327795486463101e-14,-0.00017018334725060758,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
145.84,-3.722064792951097e-09,7.643850160410819e-10,9.798118495765635,1.7152930105137016e-14,7.712462100665859e-14,-7.252321611839461e-19,-0.0024225637017547493,-0.027116556775418445,-0.39975065879857913,9.511127343915143e-14,-1.9293374091993315e-14,-0.0002472937103842332,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
145.86,-3.7225223661426038e-09,7.64479384406779e-10,9.799283124436181,1.2643038350529057e-14,5.3673314838515834e-14,-7.2816803051009485e-19,-0.0024225637017547363,-0.027116556775418445,-0.3997550399772538,8.386554787274432e-14,-1.7090219327669436e-14,-0.00021905893373419527,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
145.88,-3.72292520979872e-09,7.64562515176482e-10,9.800320277493084,7.326007087993338e-15,2.6981670825710108e-14,-7.293719943109733e-19,-0.0024225637017547272,-0.027116556775418445,-0.3997601948273117,9.836554815517653e-14,-2.0107906244959995e-14,-0.0002577425028932323,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
145.9,-3.723273640702393e-09,7.646345007125396e-10,9.80123105461358,1.5951319419105113e-15,-1.0799940777198024e-15,-7.291818234421224e-19,-0.0024225637017547246,-0.027116556775418445,-0.39976475549069923,8.675454013283438e-14,-1.7789862117988085e-14,-0.0002280331693776949,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
145.92,-3.7235852410026776e-09,7.646989173524262e-10,9.802061685886384,-4.165393848192428e-15,-2.864267110119744e-14,-7.288355219437326e-19,-0.0024225637017547285,-0.027116556775418445,-0.39977021525279566,1.0350658514651733e-13,-2.1296630104885052e-14,-0.00027298810482134783,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
145.94,-3.7239134207747698e-09,7.647666996219805e-10,9.802953701535055,-9.546961049617428e-15,-5.370378317344032e-14,-7.262179625268183e-19,-0.0024225637017547376,-0.027116556775418445,-0.3997735047504592,6.202465790384292e-14,-1.2830812807115441e-14,-0.00016447488317694603,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
